generation,trait_mean,trait_var,trait_std,breeding_value_mean,breeding_value_var,selection_proportion,n_parents,genetic_gain,cumulative_gain,inbreeding_coeff,selection_intensity,response_to_selection,episode
1,0.6048572659492493,1.613425850868225,1.2702070474624634,2.0891714096069336,0.8578758239746094,0.5,100,0.5799368340522051,0.5799368340522051,,,,1
2,1.1473076343536377,1.6520380973815918,1.2853163480758667,2.6676297187805176,0.801027238368988,0.5,100,0.5424503684043884,1.1223872024565935,,,,1
3,1.5497465133666992,1.2152918577194214,1.1024028062820435,3.083561897277832,0.6101694703102112,0.5,100,0.4024388790130615,1.524826081469655,,,,1
4,2.0866146087646484,1.363606572151184,1.1677356958389282,3.551156520843506,0.7328640222549438,0.5,100,0.5368680953979492,2.0616941768676043,,,,1
5,2.418105125427246,1.4840120077133179,1.2182003259658813,3.9677846431732178,0.6521408557891846,0.5,100,0.33149051666259766,2.393184693530202,,,,1
6,3.0089938640594482,1.030564546585083,1.015167236328125,4.448216915130615,0.5681288242340088,0.5,100,0.5908887386322021,2.984073432162404,,,,1
7,3.2019896507263184,1.0273245573043823,1.0135701894760132,4.725611686706543,0.5445737242698669,0.5,100,0.19299578666687012,3.177069218829274,,,,1
8,3.492509365081787,1.069536566734314,1.0341839790344238,5.055936336517334,0.5722017884254456,0.5,100,0.29051971435546875,3.467588933184743,,,,1
9,3.8818087577819824,0.9239640831947327,0.9612305164337158,5.398348808288574,0.5184701681137085,0.5,100,0.3892993927001953,3.8568883258849382,,,,1
10,4.161728858947754,1.0049265623092651,1.002460241317749,5.705225467681885,0.5260166525840759,0.5,100,0.2799201011657715,4.13680842705071,,,,1
11,4.5230278968811035,1.4732067584991455,1.2137572765350342,6.101743698120117,0.7111693024635315,0.5,100,0.3612990379333496,4.498107464984059,,,,1
12,5.092409133911133,0.8928832411766052,0.9449250102043152,6.632370471954346,0.4579637050628662,0.5,100,0.5693812370300293,5.067488702014089,,,,1
13,5.472290515899658,0.944262683391571,0.9717317819595337,6.992979049682617,0.43719738721847534,0.5,100,0.3798813819885254,5.447370084002614,,,,1
14,5.909244060516357,0.8625795841217041,0.9287516474723816,7.402703762054443,0.4859120547771454,0.5,100,0.4369535446166992,5.884323628619313,,,,1
15,6.245880126953125,0.8373919725418091,0.9150912165641785,7.77113676071167,0.45769646763801575,0.5,100,0.3366360664367676,6.220959695056081,,,,1
16,6.542752742767334,0.9874218702316284,0.9936910271644592,8.042106628417969,0.38469818234443665,0.5,100,0.296872615814209,6.51783231087029,,,,1
17,6.894361972808838,0.7906889319419861,0.8892068862915039,8.346749305725098,0.4060637950897217,0.5,100,0.3516092300415039,6.869441540911794,,,,1
18,7.267787933349609,0.7739843726158142,0.8797638416290283,8.793243408203125,0.36047449707984924,0.5,100,0.3734259605407715,7.242867501452565,,,,1
19,7.594369888305664,0.6199277639389038,0.7873548865318298,9.127068519592285,0.3698904812335968,0.5,100,0.3265819549560547,7.56944945640862,,,,1
20,7.995281219482422,0.8994162678718567,0.9483755826950073,9.510282516479492,0.41907694935798645,0.5,100,0.4009113311767578,7.970360787585378,,,,1
